x,y
54.46623093681868,0.10810810810810871
272.33115468409574,0.5540540540540533
479.30283224400813,0.8648648648648658
1045.7516339869273,1.1351351351351338
1514.1612200435725,1.4459459459459443
2603.4858387799554,1.986486486486486
2973.8562091503263,2.054054054054054
3474.945533769062,2.0945945945945947
4139.433551198256,2.2567567567567566
4618.736383442265,2.648648648648648
4923.747276688452,2.4594594594594588
5533.769063180826,2.851351351351351
6023.965141612199,3.0810810810810807
6470.588235294117,3.27027027027027
7037.0370370370365,3.499999999999999
7559.912854030501,3.905405405405405
7952.069716775598,4.202702702702702
8464.052287581699,4.662162162162162
9008.71459694989,5.297297297297298
