x,y
-0.027704485488126603,3.620689655172407
0.12005277044854862,73.62068965517247
0.2493403693931398,152.0689655172414
0.4802110817941948,252.24137931034485
0.729551451187335,365.6896551724138
0.914248021108179,433.2758620689655
1.1358839050131926,465.86206896551727
1.2928759894459099,485.17241379310343
1.54221635883905,499.65517241379314
1.810026385224274,500.86206896551727
2.33641160949868,488.79310344827593
3.056728232189973,463.448275862069
3.499999999999999,441.72413793103453
3.8416886543535615,417.58620689655174
4.238786279683377,397.06896551724145
4.534300791556727,363.2758620689655
4.783641160949867,308.9655172413793
4.949868073878627,257.0689655172414
5.032981530343007,161.72413793103448
5.0791556728232194,108.62068965517241
5.226912928759894,66.37931034482766
5.4485488126649075,21.72413793103454
